[2022-03-24 07:34:27,324] Register - Step 01: Navigate to 'Register' Page
[2022-03-24 08:02:10,887] Register - Step 05: Enter to Password Textbox with value is '123456'
[2022-03-24 08:02:11,013] Register - Step 06: Enter to Confirm Password Textbox with value is '123456'
[2022-03-24 08:02:11,118] Register - Step 07: Click to Register Button
[2022-03-24 08:02:12,072] Register - Step 08: Verify Register success message is displayed
[2022-03-24 08:02:12,145]  -------------------------- FAILED -------------------------- 
[2022-03-24 08:02:12,146] Register - Step 09: Click to Log out link
[2022-03-24 08:02:13,022] Login - Step 01: Navigate to Login Page
[2022-03-24 08:02:13,637] Login - Step 02: Enter to Email Address Textbox with value is 'afc5830@mail.vn'
[2022-03-24 08:02:13,745] Login - Step 03: Enter to Password Textbox with value is '123456'
[2022-03-24 08:02:13,859] Login - Step 04: Click to Login Button
[2022-03-24 08:02:14,741] Login - Step 05: Verify 'My Account' link is displayed
[2022-03-24 08:02:14,837]  -------------------------- FAILED -------------------------- 
[2022-03-24 08:02:14,838] Login - Step 06: Navigate to 'My Account' page
[2022-03-24 08:02:15,457] Login - Step 07: Verify 'Customer Infor' page
[2022-03-24 08:02:15,559]  -------------------------- FAILED -------------------------- 
[2022-03-24 08:21:18,639] Register - Step 01: Navigate to 'Register' Page
[2022-03-24 08:21:19,315] Register - Step 02: Enter to Firstname Textbox with value is 'Automation'
[2022-03-24 08:21:19,453] Register - Step 03: Enter to Lastname Textbox with value is 'FC'
[2022-03-24 08:21:19,579] Register - Step 04: Enter to Email Address Textbox with value is 'afc6882@mail.vn'
[2022-03-24 08:21:19,698] Register - Step 05: Enter to Password Textbox with value is '123456'
[2022-03-24 08:21:19,798] Register - Step 06: Enter to Confirm Password Textbox with value is '123456'
[2022-03-24 08:21:19,916] Register - Step 07: Click to Register Button
[2022-03-24 08:21:20,913] Register - Step 08: Verify Register success message is displayed
[2022-03-24 08:21:20,985]  -------------------------- FAILED -------------------------- 
[2022-03-24 08:21:20,986] Register - Step 09: Click to Log out link
[2022-03-24 08:21:21,914] Login - Step 01: Navigate to Login Page
[2022-03-24 08:21:22,555] Login - Step 02: Enter to Email Address Textbox with value is 'afc6882@mail.vn'
[2022-03-24 08:21:22,677] Login - Step 03: Enter to Password Textbox with value is '123456'
[2022-03-24 08:21:22,791] Login - Step 04: Click to Login Button
[2022-03-24 08:21:23,698] Login - Step 05: Verify 'My Account' link is displayed
[2022-03-24 08:21:23,785]  -------------------------- FAILED -------------------------- 
[2022-03-24 08:21:23,785] Login - Step 06: Navigate to 'My Account' page
[2022-03-24 08:21:24,409] Login - Step 07: Verify 'Customer Infor' page
[2022-03-24 08:21:24,508]  -------------------------- FAILED -------------------------- 
[2022-03-24 09:07:00,974] Register - Step 01: Navigate to 'Register' Page
[2022-03-24 09:07:01,661] Register - Step 02: Enter to Firstname Textbox with value is 'Automation'
[2022-03-24 09:07:01,830] Register - Step 03: Enter to Lastname Textbox with value is 'FC'
[2022-03-24 09:07:01,955] Register - Step 04: Enter to Email Address Textbox with value is 'afc7283@mail.vn'
[2022-03-24 09:07:02,072] Register - Step 05: Enter to Password Textbox with value is '123456'
[2022-03-24 09:07:02,178] Register - Step 06: Enter to Confirm Password Textbox with value is '123456'
[2022-03-24 09:07:02,285] Register - Step 07: Click to Register Button
[2022-03-24 09:07:03,221] Register - Step 08: Verify Register success message is displayed
[2022-03-24 09:07:03,299]  -------------------------- FAILED -------------------------- 
[2022-03-24 09:07:03,301] Register - Step 09: Click to Log out link
[2022-03-24 09:07:04,145] Login - Step 01: Navigate to Login Page
[2022-03-24 09:07:04,747] Login - Step 02: Enter to Email Address Textbox with value is 'afc7283@mail.vn'
[2022-03-24 09:07:04,859] Login - Step 03: Enter to Password Textbox with value is '123456'
[2022-03-24 09:07:04,975] Login - Step 04: Click to Login Button
[2022-03-24 09:07:05,872] Login - Step 05: Verify 'My Account' link is displayed
[2022-03-24 09:07:05,979]  -------------------------- FAILED -------------------------- 
[2022-03-24 09:07:05,979] Login - Step 06: Navigate to 'My Account' page
[2022-03-24 09:07:06,583] Login - Step 07: Verify 'Customer Infor' page
[2022-03-24 09:07:06,685]  -------------------------- FAILED -------------------------- 
[2022-03-24 09:07:12,334] Register - Step 01: Navigate to 'Register' Page
[2022-03-24 09:07:12,999] Register - Step 02: Enter to Firstname Textbox with value is 'Automation'
[2022-03-24 09:07:13,205] Register - Step 03: Enter to Lastname Textbox with value is 'FC'
[2022-03-24 09:07:13,382] Register - Step 04: Enter to Email Address Textbox with value is 'afc9593@mail.vn'
[2022-03-24 09:07:13,577] Register - Step 05: Enter to Password Textbox with value is '123456'
[2022-03-24 09:07:13,764] Register - Step 06: Enter to Confirm Password Textbox with value is '123456'
[2022-03-24 09:07:13,945] Register - Step 07: Click to Register Button
[2022-03-24 09:07:14,917] Register - Step 08: Verify Register success message is displayed
[2022-03-24 09:07:15,006]  -------------------------- FAILED -------------------------- 
[2022-03-24 09:07:15,006] Register - Step 09: Click to Log out link
[2022-03-24 09:07:15,918] Login - Step 01: Navigate to Login Page
[2022-03-24 09:07:16,550] Login - Step 02: Enter to Email Address Textbox with value is 'afc9593@mail.vn'
[2022-03-24 09:07:16,718] Login - Step 03: Enter to Password Textbox with value is '123456'
[2022-03-24 09:07:16,878] Login - Step 04: Click to Login Button
[2022-03-24 09:07:17,730] Login - Step 05: Verify 'My Account' link is displayed
[2022-03-24 09:07:17,806]  -------------------------- FAILED -------------------------- 
[2022-03-24 09:07:17,806] Login - Step 06: Navigate to 'My Account' page
[2022-03-24 09:07:18,434] Login - Step 07: Verify 'Customer Infor' page
[2022-03-24 09:07:18,518]  -------------------------- FAILED -------------------------- 
[2022-03-24 11:35:20,833] Register - Step 01: Navigate to 'Register' Page
[2022-03-24 11:35:21,535] Register - Step 02: Enter to Firstname Textbox with value is 'Automation'
[2022-03-24 11:35:21,737] Register - Step 03: Enter to Lastname Textbox with value is 'FC'
[2022-03-24 11:35:21,914] Register - Step 04: Enter to Email Address Textbox with value is 'afc6425@mail.vn'
[2022-03-24 11:35:22,113] Register - Step 05: Enter to Password Textbox with value is '123456'
[2022-03-24 11:35:22,299] Register - Step 06: Enter to Confirm Password Textbox with value is '123456'
[2022-03-24 11:35:22,474] Register - Step 07: Click to Register Button
[2022-03-24 11:35:23,509] Register - Step 08: Verify Register success message is displayed
[2022-03-24 11:35:23,583]  -------------------------- FAILED -------------------------- 
[2022-03-24 11:35:23,584] Register - Step 09: Click to Log out link
[2022-03-24 11:35:24,765] Login - Step 01: Navigate to Login Page
[2022-03-24 11:35:25,420] Login - Step 02: Enter to Email Address Textbox with value is 'afc6425@mail.vn'
[2022-03-24 11:35:25,602] Login - Step 03: Enter to Password Textbox with value is '123456'
[2022-03-24 11:35:25,759] Login - Step 04: Click to Login Button
[2022-03-24 11:35:26,667] Login - Step 05: Verify 'My Account' link is displayed
[2022-03-24 11:35:26,752]  -------------------------- FAILED -------------------------- 
[2022-03-24 11:35:26,753] Login - Step 06: Navigate to 'My Account' page
[2022-03-24 11:35:27,391] Login - Step 07: Verify 'Customer Infor' page
[2022-03-24 11:35:27,473]  -------------------------- FAILED -------------------------- 
[2022-03-24 11:46:43,019] Register - Step 01: Navigate to 'Register' Page
[2022-03-24 11:46:43,734] Register - Step 02: Enter to Firstname Textbox with value is 'Automation'
[2022-03-24 11:46:43,947] Register - Step 03: Enter to Lastname Textbox with value is 'FC'
[2022-03-24 11:46:44,120] Register - Step 04: Enter to Email Address Textbox with value is 'afc2293@mail.vn'
[2022-03-24 11:46:44,311] Register - Step 05: Enter to Password Textbox with value is '123456'
[2022-03-24 11:46:44,489] Register - Step 06: Enter to Confirm Password Textbox with value is '123456'
[2022-03-24 11:46:44,660] Register - Step 07: Click to Register Button
[2022-03-24 11:46:45,646] Register - Step 08: Verify Register success message is displayed
[2022-03-24 11:46:45,891] Login - Step 01: Navigate to Login Page
[2022-03-24 12:11:12,964] Register - Step 01: Navigate to 'Register' Page
[2022-03-24 12:11:13,661] Register - Step 02: Enter to Firstname Textbox with value is 'Automation'
[2022-03-24 12:11:13,882] Register - Step 03: Enter to Lastname Textbox with value is 'FC'
[2022-03-24 12:11:14,072] Register - Step 04: Enter to Email Address Textbox with value is 'afc414@mail.vn'
[2022-03-24 12:11:14,289] Register - Step 05: Enter to Password Textbox with value is '123456'
[2022-03-24 12:11:14,465] Register - Step 06: Enter to Confirm Password Textbox with value is '123456'
[2022-03-24 12:11:14,651] Register - Step 07: Click to Register Button
[2022-03-24 12:11:15,579] Register - Step 08: Verify Register success message is displayed
[2022-03-24 12:11:15,789] Login - Step 01: Navigate to Login Page
[2022-03-24 12:11:19,958] Login - Step 02: Enter to Email Address Textbox with value is 'afc414@mail.vn'
[2022-03-24 12:11:20,122] Login - Step 03: Enter to Password Textbox with value is '123456'
[2022-03-24 12:11:20,288] Login - Step 04: Click to Login Button
[2022-03-24 12:11:21,193] Login - Step 05: Verify 'My Account' link is displayed
[2022-03-24 12:14:02,016] Register - Step 01: Navigate to 'Register' Page
[2022-03-24 12:14:02,711] Register - Step 02: Enter to Firstname Textbox with value is 'Automation'
[2022-03-24 12:14:02,925] Register - Step 03: Enter to Lastname Textbox with value is 'FC'
[2022-03-24 12:14:03,100] Register - Step 04: Enter to Email Address Textbox with value is 'afc3227@mail.vn'
[2022-03-24 12:14:03,296] Register - Step 05: Enter to Password Textbox with value is '123456'
[2022-03-24 12:14:03,485] Register - Step 06: Enter to Confirm Password Textbox with value is '123456'
[2022-03-24 12:14:03,673] Register - Step 07: Click to Register Button
[2022-03-24 12:14:04,604] Register - Step 08: Verify Register success message is displayed
[2022-03-24 12:14:04,813] Login - Step 01: Navigate to Login Page
[2022-03-24 12:14:10,167] Login - Step 02: Enter to Email Address Textbox with value is 'afc3227@mail.vn'
[2022-03-24 12:14:10,324] Login - Step 03: Enter to Password Textbox with value is '123456'
[2022-03-24 12:14:10,487] Login - Step 04: Click to Login Button
[2022-03-24 12:14:11,349] Login - Step 05: Verify 'My Account' link is displayed
[2022-03-24 13:42:02,790] Register - Step 01: Navigate to 'Register' Page
[2022-03-24 13:42:03,502] Register - Step 02: Enter to Firstname Textbox with value is 'Automation'
[2022-03-24 13:42:03,702] Register - Step 03: Enter to Lastname Textbox with value is 'FC'
[2022-03-24 13:42:03,892] Register - Step 04: Enter to Email Address Textbox with value is 'afc4008@mail.vn'
[2022-03-24 13:42:04,087] Register - Step 05: Enter to Password Textbox with value is '123456'
[2022-03-24 13:42:04,280] Register - Step 06: Enter to Confirm Password Textbox with value is '123456'
[2022-03-24 13:42:04,459] Register - Step 07: Click to Register Button
[2022-03-24 13:42:05,495] Register - Step 08: Verify Register success message is displayed
[2022-03-24 13:42:05,591] Login - Step 01: Navigate to Login Page
[2022-03-24 13:42:07,151] Login - Step 02: Enter to Email Address Textbox with value is 'afc4008@mail.vn'
[2022-03-24 13:42:07,322] Login - Step 03: Enter to Password Textbox with value is '123456'
[2022-03-24 13:42:07,479] Login - Step 04: Click to Login Button
[2022-03-24 13:42:08,404] Login - Step 05: Verify 'My Account' link is displayed
[2022-03-26 08:59:47,364] Login - Step 01: Navigate to Login Page
[2022-03-26 08:59:48,073] Login - Step 02: Enter to Email Address Textbox with value is 'afc7814@mail.vn'
[2022-03-26 08:59:48,287] Login - Step 03: Enter to Password Textbox with value is '123456'
[2022-03-26 08:59:48,488] Login - Step 04: Click to Login Button
[2022-03-26 09:48:01,658] Login - Step 01: Navigate to Login Page
[2022-03-26 09:48:02,358] Login - Step 02: Enter to Email Address Textbox with value is 'afc9971@mail.vn'
[2022-03-26 09:48:02,560] Login - Step 03: Enter to Password Textbox with value is '123456'
[2022-03-26 09:48:02,746] Login - Step 04: Click to Login Button
[2022-03-26 11:01:27,373] Pre-Condition - Step 01: Navigate to Login Page
[2022-03-26 11:01:28,087] Pre-Condition - Step 02: Set Cookie and reload Page
[2022-03-26 11:01:31,670] Pre-Condition - Step 03: Verify 'My Account' link is displayed
[2022-03-26 11:01:31,773]  -------------------------- PASSED -------------------------- 
[2022-03-26 11:09:41,245] Pre-Condition - Step 01: Navigate to Login Page
[2022-03-26 11:09:41,926] Pre-Condition - Step 02: Set Cookie and reload Page
[2022-03-26 11:09:45,512] Pre-Condition - Step 03: Verify 'My Account' link is displayed
[2022-03-26 11:09:45,608]  -------------------------- PASSED -------------------------- 
[2022-03-26 16:01:52,111] Register - Step 01: Navigate to 'Register' Page
[2022-03-26 16:01:52,822] Register - Step 02: Enter to Firstname Textbox with value is 'Automation'
[2022-03-26 16:01:53,025] Register - Step 03: Enter to Lastname Textbox with value is 'FC'
[2022-03-26 16:01:53,203] Register - Step 04: Enter to Email Address Textbox with value is 'afc7938@mail.vn'
[2022-03-26 16:01:53,398] Register - Step 05: Enter to Password Textbox with value is '123456'
[2022-03-26 16:01:53,585] Register - Step 06: Enter to Confirm Password Textbox with value is '123456'
[2022-03-26 16:01:53,770] Register - Step 07: Click to Register Button
[2022-03-26 16:01:54,745] Register - Step 08: Verify Register success message is displayed
[2022-03-26 16:01:54,841]  -------------------------- FAILED -------------------------- 
[2022-03-26 16:01:54,843] Register - Step 09: Click to Log out link
[2022-03-26 16:01:55,935] Login - Step 01: Navigate to Login Page
[2022-03-26 16:01:56,571] Login - Step 02: Enter to Email Address Textbox with value is 'afc7938@mail.vn'
[2022-03-26 16:01:56,741] Login - Step 03: Enter to Password Textbox with value is '123456'
[2022-03-26 16:01:56,918] Login - Step 04: Click to Login Button
[2022-03-26 16:01:57,811] Login - Step 05: Verify 'My Account' link is displayed
[2022-03-26 16:01:57,899]  -------------------------- PASSED -------------------------- 
[2022-03-26 16:01:57,899] Login - Step 06: Navigate to 'My Account' page
[2022-03-26 16:01:58,499] Login - Step 07: Verify 'Customer Infor' page
[2022-03-26 16:01:58,581]  -------------------------- FAILED -------------------------- 
[2022-03-26 16:07:09,079] Pre-Condition - Step 01: Navigate to 'Register' Page
[2022-03-26 16:07:09,778] Pre-Condition - Step 02: Enter to Firstname Textbox with value is 'Automation'
[2022-03-26 16:07:09,982] Pre-Conditionegister - Step 03: Enter to Lastname Textbox with value is 'FC'
[2022-03-26 16:07:10,159] Pre-Condition - Step 04: Enter to Email Address Textbox with value is 'afc8811@mail.vn'
[2022-03-26 16:07:10,352] Pre-Condition - Step 05: Enter to Password Textbox with value is '123456'
[2022-03-26 16:07:10,528] Pre-Condition - Step 06: Enter to Confirm Password Textbox with value is '123456'
[2022-03-26 16:07:10,705] Pre-Condition - Step 07: Click to Register Button
[2022-03-26 16:07:11,666] Pre-Condition - Step 08: Verify Register success message is displayed
[2022-03-26 16:07:11,743]  -------------------------- FAILED -------------------------- 
[2022-03-26 16:07:11,744] Pre-Condition - Step 09: Click to Log out link
[2022-03-26 16:07:12,621] Pre-Condition - Step 10: Navigate to Login Page
[2022-03-26 16:07:13,233] Pre-Condition - Step 11: Enter to Email Address Textbox with value is 'afc8811@mail.vn'
[2022-03-26 16:07:13,408] Pre-Condition - Step 12: Enter to Password Textbox with value is '123456'
[2022-03-26 16:07:13,566] Pre-Condition - Step 13: Click to Login Button
[2022-03-26 16:11:01,167] Pre-Condition - Step 01: Navigate to 'Register' Page
[2022-03-26 16:11:01,905] Pre-Condition - Step 02: Enter to Firstname Textbox with value is 'Automation'
[2022-03-26 16:11:02,121] Pre-Condition - Step 03: Enter to Lastname Textbox with value is 'FC'
[2022-03-26 16:11:02,296] Pre-Condition - Step 04: Enter to Email Address Textbox with value is 'afc6659@mail.vn'
[2022-03-26 16:11:02,491] Pre-Condition - Step 05: Enter to Password Textbox with value is '123456'
[2022-03-26 16:11:02,678] Pre-Condition - Step 06: Enter to Confirm Password Textbox with value is '123456'
[2022-03-26 16:11:02,852] Pre-Condition - Step 07: Click to Register Button
[2022-03-26 16:11:03,868] Pre-Condition - Step 08: Verify Register success message is displayed
[2022-03-26 16:50:32,211] Pre-Condition - Step 01: Navigate to 'Register' Page
[2022-03-26 16:50:33,072] Pre-Condition - Step 02: Enter to Firstname Textbox with value is 'Automation'
[2022-03-26 16:50:33,312] Pre-Condition - Step 03: Enter to Lastname Textbox with value is 'FC'
[2022-03-26 16:50:33,504] Pre-Condition - Step 04: Enter to Email Address Textbox with value is 'afc2799@mail.vn'
[2022-03-26 16:50:33,730] Pre-Condition - Step 05: Enter to Password Textbox with value is '123456'
[2022-03-26 16:50:33,967] Pre-Condition - Step 06: Enter to Confirm Password Textbox with value is '123456'
[2022-03-26 16:50:34,167] Pre-Condition - Step 07: Click to Register Button
[2022-03-26 16:50:35,213] Pre-Condition - Step 08: Verify Register success message is displayed
[2022-03-26 16:52:07,690] Pre-Condition - Step 01: Navigate to 'Register' Page
[2022-03-26 16:52:08,398] Pre-Condition - Step 02: Enter to Firstname Textbox with value is 'Automation'
[2022-03-26 16:52:08,605] Pre-Condition - Step 03: Enter to Lastname Textbox with value is 'FC'
[2022-03-26 16:52:08,780] Pre-Condition - Step 04: Enter to Email Address Textbox with value is 'afc3629@mail.vn'
[2022-03-26 16:52:08,971] Pre-Condition - Step 05: Enter to Password Textbox with value is '123456'
[2022-03-26 16:52:09,148] Pre-Condition - Step 06: Enter to Confirm Password Textbox with value is '123456'
[2022-03-26 16:52:09,334] Pre-Condition - Step 07: Click to Register Button
[2022-03-26 16:52:10,321] Pre-Condition - Step 08: Verify Register success message is displayed
[2022-03-26 17:29:21,098] OS name = windows 10
[2022-03-26 17:29:21,099] 
[2022-03-26 17:34:38,054] OS name = windows 10
[2022-03-26 17:34:38,062] 
[2022-03-26 18:12:15,876] OS name = windows 10
[2022-03-26 18:12:15,877] 
[2022-03-26 21:55:26,492] Register - Step 01: Navigate to 'Register' Page
[2022-03-26 21:55:26,607] Login - Step 01: Navigate to Login Page
[2022-03-26 21:55:26,618] OS name = windows 10
[2022-03-26 21:55:26,618] Driver instance name = chromedriver: chrome on windows (3b3537cabbf9362cd027457457c4abaf)
[2022-03-26 21:56:18,946] Register - Step 01: Navigate to 'Register' Page
[2022-03-26 21:56:19,667] Register - Step 02: Click to 'Male' radio button
[2022-03-26 21:56:19,803] Register - Step 03: Enter to Firstname Textbox with value is 'Automation'
[2022-03-26 21:56:19,985] Register - Step 04: Enter to Lastname Textbox with value is 'FC'
[2022-03-26 21:56:20,167] Register - Step 05: Enter to Email Address Textbox with value is 'afc5089@mail.vn'
[2022-03-26 21:56:20,363] Register - Step 06: Enter to Password Textbox with value is '123456'
[2022-03-26 21:56:20,552] Register - Step 07: Enter to Confirm Password Textbox with value is '123456'
[2022-03-26 21:56:20,737] Register - Step 08: Select item in 'Date of Day' dropdown
[2022-03-26 21:56:50,948] Login - Step 01: Navigate to Login Page
[2022-03-26 21:56:51,649] Login - Step 02: Enter to Email Address Textbox with value is 'afc5089@mail.vn'
[2022-03-26 21:56:51,840] Login - Step 03: Enter to Password Textbox with value is '123456'
[2022-03-26 21:56:52,016] Login - Step 04: Click to Login Button
[2022-03-26 21:56:53,198] Login - Step 05: Verify 'My Account' link is displayed
[2022-03-26 21:57:23,345] OS name = windows 10
[2022-03-26 21:57:23,345] Driver instance name = chromedriver: chrome on windows (2a92b7eb9d9bf74af6d59f8f6f985b84)
[2022-03-26 21:57:23,365] no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=99.0.4844.82)
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:25:53'
System info: host: 'DESKTOP-11PKG1U', ip: '192.168.45.105', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '11.0.12'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 99.0.4844.82, chrome: {chromedriverVersion: 99.0.4844.51 (d537ec02474b5..., userDataDir: C:\Users\Dell\AppData\Local...}, goog:chromeOptions: {debuggerAddress: localhost:56579}, javascriptEnabled: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: WINDOWS, platformName: WINDOWS, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:virtualAuthenticators: true}
Session ID: 2a92b7eb9d9bf74af6d59f8f6f985b84
[2022-03-26 21:58:38,852] Register - Step 01: Navigate to 'Register' Page
[2022-03-26 21:58:39,572] Register - Step 02: Click to 'Male' radio button
[2022-03-26 21:58:39,710] Register - Step 03: Enter to Firstname Textbox with value is 'Automation'
[2022-03-26 21:58:39,907] Register - Step 04: Enter to Lastname Textbox with value is 'FC'
[2022-03-26 21:58:40,083] Register - Step 05: Enter to Email Address Textbox with value is 'afc5366@mail.vn'
[2022-03-26 21:58:40,280] Register - Step 06: Enter to Password Textbox with value is '123456'
[2022-03-26 21:58:40,465] Register - Step 07: Enter to Confirm Password Textbox with value is '123456'
[2022-03-26 21:58:40,645] Register - Step 08: Select item in 'Date of Day' dropdown
[2022-03-26 21:58:40,771] Register - Step 09: Select item in 'Date of Month' dropdown
[2022-03-26 21:58:40,896] Register - Step 10: Select item in 'Date of Year' dropdown
[2022-03-26 21:58:41,020] Register - Step 11: Click to Register Button
[2022-03-26 21:58:41,990] Register - Step 12: Verify Register success message is displayed
[2022-03-26 21:58:42,182] Login - Step 01: Navigate to Login Page
[2022-03-26 21:59:12,636] OS name = windows 10
[2022-03-26 21:59:12,636] Driver instance name = chromedriver: chrome on windows (c984a92f330cfe6601135982c1d7a16f)
[2022-03-26 21:59:12,659] no such window: target window already closed
from unknown error: web view not found
  (Session info: chrome=99.0.4844.82)
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:25:53'
System info: host: 'DESKTOP-11PKG1U', ip: '192.168.45.105', os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '11.0.12'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 99.0.4844.82, chrome: {chromedriverVersion: 99.0.4844.51 (d537ec02474b5..., userDataDir: C:\Users\Dell\AppData\Local...}, goog:chromeOptions: {debuggerAddress: localhost:56661}, javascriptEnabled: true, networkConnectionEnabled: false, pageLoadStrategy: normal, platform: WINDOWS, platformName: WINDOWS, proxy: Proxy(), setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:virtualAuthenticators: true}
Session ID: c984a92f330cfe6601135982c1d7a16f
[2022-03-26 21:59:20,843] Register - Step 01: Navigate to 'Register' Page
[2022-03-26 21:59:21,536] Register - Step 02: Click to 'Male' radio button
[2022-03-26 21:59:21,674] Register - Step 03: Enter to Firstname Textbox with value is 'Automation'
[2022-03-26 21:59:21,882] Register - Step 04: Enter to Lastname Textbox with value is 'FC'
[2022-03-26 21:59:22,068] Register - Step 05: Enter to Email Address Textbox with value is 'afc6239@mail.vn'
[2022-03-26 21:59:22,304] Register - Step 06: Enter to Password Textbox with value is '123456'
[2022-03-26 21:59:22,477] Register - Step 07: Enter to Confirm Password Textbox with value is '123456'
[2022-03-26 21:59:22,654] Register - Step 08: Select item in 'Date of Day' dropdown
[2022-03-26 21:59:22,783] Register - Step 09: Select item in 'Date of Month' dropdown
